"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"303","X1962","Belgium",9271655,98109,10.5816059808093,50.833333,4,21524875241
"304","X1962","Barbados",232490,260.3333333,1.1197614234304,13.166667,-59.533333,21524875241
"305","X1962","Somalia",2952068,106.3333333,0.036019947146656,6,48,21524875241
"306","X1962","Mexico",40966751,63803.66667,1.55745000785312,23,-102,21524875241
"307","X1962","Sri Lanka",10480484,2563,0.244549774609646,7,81,21524875241
"308","X1962","Bolivia",3507408,1100,0.313621911109286,-17,-65,21524875241
"309","X1962","Ethiopia",23645508,396,0.016747366984038,8,38,21524875241
"310","X1962","Germany",74068738,883894,11.9334286483995,51.5,10.5,21524875241
"311","X1962","Vanuatu",67806,40.33333333,0.594834282118593,-16,167,21524875241
"312","X1962","Antigua and Barbuda",56362,102.6666667,1.82155826029358,17.05,-61.8,21524875241
"313","X1962","Peru",10515695,9969.666667,0.948074917222938,-10,-76,21524875241
"314","X1962","Afghanistan",10056480,689.3333333,0.068546184483371,33,66,21524875241
"315","X1962","Fiji",421563,231,0.54796080301165,-18,178,21524875241
"316","X1962","Cyprus",577768,905.6666667,1.567526527372,35,33,21524875241
"317","X1962","Benin",2485248,135.6666667,0.054588784164263,9.5,2.25,21524875241
"318","X1962","Denmark",4648157,36923.33333,7.94365021089721,56,10,21524875241
"319","X1962","Singapore",1742448,2577.666667,1.47933635130958,1.366667,103.8,21524875241
"320","X1962","Equatorial Guinea",257941,22,0.085290822319833,2,10,21524875241
"321","X1962","Poland",29871931,216795.3333,7.25749310726961,52,20,21524875241
"322","X1962","Belize",97972,69.66666667,0.711087521604812,17.25,-88.75,21524875241
"323","X1962","Lebanon",2028043,2827,1.39395466466934,33.833333,35.833333,21524875241
"324","X1962","Togo",1607735,88,0.054735388605709,8,1.166667,21524875241
"325","X1962","Hungary",10040803,50556,5.03505546319353,47,20,21524875241
"326","X1962","Comoros",200199,11,0.05494532939725,-12.166667,44.25,21524875241
"327","X1962","Mauritania",903773,62.33333333,0.06897012118456,20,-12,21524875241
"328","X1962","Austria",7124432,33902,4.75855478724479,47.333333,13.333333,21524875241
"329","X1962","Cayman Islands",8418,11,1.30672368733666,19.5,-80.666667,21524875241
"330","X1962","Burundi",3045392,44,0.014448057918324,-3.5,30,21524875241
"331","X1962","French Polynesia",84206,47.66666667,0.566072093041668,-15,-140,21524875241
"332","X1962","Saudi Arabia",4311990,6255.333333,1.45068363640299,25,45,21524875241
"333","X1962","Albania",1712563,2464,1.43877918651752,41,20,21524875241
"334","X1962","Qatar",55883,190.6666667,3.41189031846298,25.5,51.25,21524875241
"335","X1962","Cuba",7441909,14168,1.90381258357231,22,-79.5,21524875241
"336","X1962","Honduras",2136100,700.3333333,0.327856061670022,15,-86.5,21524875241
"337","X1962","Netherlands",11734901,83350.66667,7.1028010092856,52.5,5.75,21524875241
"338","X1962","Philippines",27800656,10347.33333,0.37219745222319,13,122,21524875241
"339","X1962","Argentina",21297317,53691,2.52102177941005,-34,-64,21524875241
"340","X1962","Guyana",591554,678.3333333,1.14669723023314,5,-59,21524875241
"341","X1962","Cambodia",5697598,308,0.054057867894506,13,105,21524875241
